"name","display_name","category","description","status","is_system"
"view_xray_receipts","View X-Ray Receipts","Radiology","See the X-Ray receipts list","active","True"
"add_xray_receipts","Add X-Ray Receipt","Radiology","Raise a new X-Ray receipt","active","True"
"edit_xray_receipts","Edit X-Ray Receipt","Radiology","Change an existing X-Ray receipt","active","True"
"delete_xray_receipts","Delete X-Ray Receipt","Radiology","Remove an X-Ray receipt","active","True"
"manage_xray_receipts","Manage X-Ray Receipts","Radiology","Full control of X-Ray receipts","active","True"
"print_xray_receipt","Print X-Ray Receipt","Radiology","Print or reprint an X-Ray receipt","active","True"
"view_dashboard_xray_fees","Dashboard: X-Ray Fees","Radiology","Show the X-Ray fees tile on the dashboard","active","True"
"manage_xray_payments","Collect - X-Ray","Cash Collection","Take payment for an X-Ray","active","True"
"reverse_xray_payment","Reverse - X-Ray","Cash Collection","Undo a collected X-Ray payment","active","True"
"edit_surgery_cost","Edit Surgery Cost","Surgery Management","Set the cost on a patient surgery","active","True"
"edit_surgery_payment_status","Edit Surgery Payment Status","Surgery Management","Change the payment status on a patient surgery","active","True"
