"name","display_name","category","description","status","is_system"
"add_appointments","Add Appointments","Appointments","","active","True"
"delete_appointments","Delete Appointments","Appointments","","active","True"
"edit_appointments","Edit Appointments","Appointments","","active","True"
"export_appointments","Export Appointments","Appointments","","active","True"
"import_appointments","Import Appointments","Appointments","","active","True"
"manage_appointments","Manage Appointments","Appointments","","active","True"
"print_appointments","Print Appointments","Appointments","","active","True"
"schedule_appointments","Schedule Appointments","Appointments","","active","True"
"update_appointment_status","Update Appointment Status","Appointments","","active","True"
"view_appointments","View Appointments","Appointments","","active","True"
"add_expense_categories","Add Expense Categories","Finance","","active","True"
"add_expenses","Add Expenses","Finance","","active","True"
"delete_expense_categories","Delete Expense Categories","Finance","","active","True"
"delete_expenses","Delete Expenses","Finance","","active","True"
"edit_expense_categories","Edit Expense Categories","Finance","","active","True"
"edit_expenses","Edit Expenses","Finance","","active","True"
"export_expense_categories","Export Expense Categories","Finance","","active","True"
"export_expenses","Export Expenses","Finance","","active","True"
"import_expense_categories","Import Expense Categories","Finance","","active","True"
"import_expenses","Import Expenses","Finance","","active","True"
"manage_expense_categories","Manage Expense Categories","Finance","","active","True"
"manage_expenses","Manage Expenses","Finance","","active","True"
"print_expense_categories","Print Expense Categories","Finance","","active","True"
"print_expenses","Print Expenses","Finance","","active","True"
"view_expense_categories","View Expense Categories","Finance","","active","True"
"view_expenses","View Expenses","Finance","","active","True"
"add_hospitals","Add Hospitals","Hospitals","","active","True"
"delete_hospitals","Delete Hospitals","Hospitals","","active","True"
"edit_hospitals","Edit Hospitals","Hospitals","","active","True"
"export_hospitals","Export Hospitals","Hospitals","","active","True"
"import_hospitals","Import Hospitals","Hospitals","","active","True"
"manage_hospitals","Manage Hospitals","Hospitals","","active","True"
"print_hospitals","Print Hospitals","Hospitals","","active","True"
"view_hospitals","View Hospitals","Hospitals","","active","True"
"add_lab_orders","Add Lab Orders","Laboratory","","active","True"
"add_test_templates","Add Test Templates","Laboratory","","active","True"
