"name","display_name","category","description","status","is_system"
"view_ecg_services","View ECG Services","ECG","See the ECG study catalogue","active","True"
"add_ecg_services","Add ECG Service","ECG","Create a new ECG study","active","True"
"edit_ecg_services","Edit ECG Service","ECG","Change an existing ECG study","active","True"
"delete_ecg_services","Delete ECG Service","ECG","Remove an ECG study from the catalogue","active","True"
"manage_ecg_services","Manage ECG Services","ECG","Full control of the ECG study catalogue","active","True"
"view_ecg_receipts","View ECG Receipts","ECG","See the ECG receipts list","active","True"
"add_ecg_receipts","Add ECG Receipt","ECG","Raise a new ECG receipt","active","True"
"edit_ecg_receipts","Edit ECG Receipt","ECG","Change an existing ECG receipt","active","True"
"delete_ecg_receipts","Delete ECG Receipt","ECG","Remove an ECG receipt","active","True"
"manage_ecg_receipts","Manage ECG Receipts","ECG","Full control of ECG receipts","active","True"
"print_ecg_receipt","Print ECG Receipt","ECG","Print an ECG receipt","active","True"
"manage_ecg_payments","Collect ECG Payment","Accounts","Take payment against an ECG receipt","active","True"
"reverse_ecg_payment","Reverse ECG Payment","Accounts","Undo an ECG payment already taken","active","True"
"view_dashboard_ecg_fees","Dashboard: ECG Fees","Dashboard","See ECG income on the dashboard","active","True"
"view_dashboard_count_ecg","Dashboard: ECG Count","Dashboard","See the ECG receipt count on the dashboard","active","True"
"view_dental_menu","View Dental Menu","Navigation","Show the Dental menu in the sidebar","active","True"
"view_accounts_menu","View Accounts Menu","Navigation","Show the Accounts menu in the sidebar","active","True"
"view_reports_menu","View Reports Menu","Navigation","Show the Reports menu in the sidebar","active","True"
"view_hr_menu","View HR Menu","Navigation","Show the HR menu in the sidebar","active","True"
"view_hospitals_menu","View Hospitals Menu","Navigation","Show the Hospitals menu in the sidebar","active","True"
