"name","display_name","category","description","status","is_system"
"approve_expenses","Approve Expenses","Accounts","Approve or reject a submitted expense","active","True"
"approve_other_incomes","Approve Other Income","Accounts","Approve or reject a submitted income entry","active","True"
"edit_expense_date","Edit Expense Date","Accounts","Choose a date other than today when filing an expense","active","True"
"edit_other_income_date","Edit Income Date","Accounts","Choose a date other than today when filing other income","active","True"
"manage_ecg_payments","Collect ECG Payment","Accounts","Take payment against an ECG receipt","active","True"
"reverse_ecg_payment","Reverse ECG Payment","Accounts","Undo an ECG payment already taken","active","True"
"view_dashboard_active_users","Dashboard: Logged-in Users","Dashboard","See which staff are currently signed in, per hospital","active","True"
"view_dashboard_chart_collection","Dashboard: Collection Status Chart","Dashboard","See paid, partly paid and unpaid billing for the selected period","active","True"
"view_dashboard_chart_hourly","Dashboard: Trend by Hour Chart","Dashboard","See the hour-by-hour activity chart","active","True"
"view_dashboard_chart_income","Dashboard: Income by Module Chart","Dashboard","See the income-by-module bar and donut chart","active","True"
"view_dashboard_count_ecg","Dashboard: ECG Count","Dashboard","See the ECG receipt count on the dashboard","active","True"
"view_dashboard_ecg_fees","Dashboard: ECG Fees","Dashboard","See ECG income on the dashboard","active","True"
"view_dashboard_medicine_profit","Dashboard: Medicine Sales Profit","Dashboard","See the gross profit on medicine sales, and the cost of goods behind it","active","True"
"add_ecg_receipts","Add ECG Receipt","ECG","Raise a new ECG receipt","active","True"
"add_ecg_services","Add ECG Service","ECG","Create a new ECG study","active","True"
"delete_ecg_receipts","Delete ECG Receipt","ECG","Remove an ECG receipt","active","True"
"delete_ecg_services","Delete ECG Service","ECG","Remove an ECG study from the catalogue","active","True"
"edit_ecg_receipts","Edit ECG Receipt","ECG","Change an existing ECG receipt","active","True"
"edit_ecg_services","Edit ECG Service","ECG","Change an existing ECG study","active","True"
"manage_ecg_receipts","Manage ECG Receipts","ECG","Full control of ECG receipts","active","True"
"manage_ecg_services","Manage ECG Services","ECG","Full control of the ECG study catalogue","active","True"
"print_ecg_receipt","Print ECG Receipt","ECG","Print an ECG receipt","active","True"
"view_ecg_receipts","View ECG Receipts","ECG","See the ECG receipts list","active","True"
"view_ecg_services","View ECG Services","ECG","See the ECG study catalogue","active","True"
"view_accounts_menu","View Accounts Menu","Navigation","Show the Accounts menu in the sidebar","active","True"
"view_dental_menu","View Dental Menu","Navigation","Show the Dental menu in the sidebar","active","True"
"view_hospitals_menu","View Hospitals Menu","Navigation","Show the Hospitals menu in the sidebar","active","True"
"view_hr_menu","View HR Menu","Navigation","Show the HR menu in the sidebar","active","True"
"view_reports_menu","View Reports Menu","Navigation","Show the Reports menu in the sidebar","active","True"
"view_reports_expenses","Reports: Expenses","Reports","What the hospital spent, by period and category","active","True"
"view_reports_general","Reports: General","Reports","The overall financial and fee reports","active","True"
"view_reports_laboratory","Reports: Laboratory","Reports","The laboratory reporting desk","active","True"
"view_reports_other_income","Reports: Other Income","Reports","Income raised outside the clinical modules","active","True"
"view_reports_pharmacy","Reports: Pharmacy","Reports","The pharmacy reporting desk","active","True"
"view_reports_pharmacy_expiry","Reports: Short Expiry","Reports","Batches expiring, and stock already expired","active","True"
"view_reports_pharmacy_low_stock","Reports: Low Stock","Reports","Products at or below their reorder level","active","True"
"view_reports_pharmacy_profit","Reports: Profit","Reports","Revenue, cost of sales and margin per product","active","True"
"view_reports_pharmacy_purchase","Reports: Purchase","Reports","What was bought, supplier and date wise","active","True"
"view_reports_pharmacy_sales","Reports: Sales","Reports","What was sold, customer and date wise","active","True"
"view_reports_pharmacy_stock","Reports: Available Stock","Reports","Stock on hand, product or company wise","active","True"
"view_reports_reception","Reports: Reception","Reports","The reception reporting desk","active","True"
"view_reports_room_booking","Reports: Room Booking","Reports","Admissions and bed charges","active","True"
"view_reports_surgery","Reports: Surgery","Reports","Operations performed, by period, doctor and procedure","active","True"
"view_reports_ultrasound","Reports: Ultrasound","Reports","Scans performed and fees collected","active","True"
"view_reports_xray","Reports: X-Ray","Reports","Films taken and fees collected","active","True"
